role,feature,mean_day1,mean_day2,std_mean_diff,n_day1,n_day2,abs_std_mean_diff
POSSESSED,Agr_id_IF,0.14285714285714285,0.3157894736842105,0.22194707471252073,49,19,0.22194707471252073
POSSESSED,day1_vote_id_calm,1.355,0.43,-0.4541863371032021,200,200,0.4541863371032021
POSSESSED,Vote_recepient_id_IF,0.0125,0.0,-0.15811388300841897,80,21,0.15811388300841897
POSSESSED,IF,0.04,0.0,-0.2595542738092201,225,225,0.2595542738092201
POSSESSED,Dis_id_Vote,0.6265060240963856,0.38461538461538464,-0.2737093560054217,83,26,0.2737093560054217
POSSESSED,Vote_recepient_id_Req(CO),0.025,0.0,-0.15811388300841897,80,21,0.15811388300841897
POSSESSED,Est_id_confused,0.2,0.13636363636363635,-0.12365018707036736,55,22,0.12365018707036736
POSSESSED,Fact_recepient_id_difficult,0.2,0.0,-0.689202437604511,20,10,0.689202437604511
POSSESSED,day1_vote_id_Mt,2.525,0.96,-0.5309716447966613,200,200,0.5309716447966613
POSSESSED,Agr_id_Req(V),0.32653061224489793,0.5789473684210527,0.25720387607446416,49,19,0.25720387607446416
POSSESSED,day1_vote_id_XOR,0.0,0.0,,200,200,
POSSESSED,day1_vote_id_IF,0.06,0.025,-0.13159270507294138,200,200,0.13159270507294138
POSSESSED,Fact_recepient_id_IF,0.0,0.0,,20,10,
POSSESSED,Sus_recepient_id_confused,0.1796875,0.06666666666666667,-0.23460492311915743,128,45,0.23460492311915743
POSSESSED,ReqListen,0.2,0.07555555555555556,-0.22778417758900352,225,225,0.22778417758900352
POSSESSED,Vote_recepient_id_Fact,0.125,0.047619047619047616,-0.21476307735185277,80,21,0.21476307735185277
POSSESSED,Dis_id_contradiction,0.060240963855421686,0.11538461538461539,0.15068414391292684,83,26,0.15068414391292684
POSSESSED,Est_id_Vote,0.509090909090909,0.7727272727272727,0.25568310602480243,55,22,0.25568310602480243
POSSESSED,Vote_recepient_id_confused,0.125,0.23809523809523808,0.2150522424968624,80,21,0.2150522424968624
POSSESSED,day1_vote_id_Admiration,0.005,0.0,-0.09999999999999998,200,200,0.09999999999999998
POSSESSED,Vote_recepient_id_Req(T),0.9875,0.7619047619047619,-0.1889471815130021,80,21,0.1889471815130021
POSSESSED,Vote_recepient_id_Vote,0.6625,0.38095238095238093,-0.3240800465297991,80,21,0.3240800465297991
POSSESSED,Fact_recepient_id_ReqDiscuss,3.05,0.9,-0.9046639693671202,20,10,0.9046639693671202
POSSESSED,day1_vote_id_Fact,0.195,0.095,-0.1880146222484687,200,200,0.1880146222484687
POSSESSED,Dis_id_Req(T),0.9759036144578314,0.7692307692307693,-0.10242472594205831,83,26,0.10242472594205831
POSSESSED,Dis_id_difficult,0.04819277108433735,0.11538461538461539,0.19703443806343351,83,26,0.19703443806343351
POSSESSED,difficult,0.24444444444444444,0.057777777777777775,-0.3294728441769791,225,225,0.3294728441769791
POSSESSED,Vote_recepient_id_Sus,1.1125,1.619047619047619,0.33430699791376356,80,21,0.33430699791376356
POSSESSED,Agr_id_Admiration,0.02040816326530612,0.0,-0.20203050891044214,49,19,0.20203050891044214
POSSESSED,Fact_recepient_id_Sus,2.2,0.8,-0.726734967216282,20,10,0.726734967216282
POSSESSED,day1_vote_id_Wait,0.235,0.06,-0.35775135855244866,200,200,0.35775135855244866
POSSESSED,Est_id_ReqDiscuss,3.3454545454545452,1.5909090909090908,-0.6860439752222489,55,22,0.6860439752222489
POSSESSED,Fact,0.14222222222222222,0.09333333333333334,-0.09349767823938442,225,225,0.09349767823938442
POSSESSED,day1_vote_id_Pers,1.255,0.355,-0.53465043654573,200,200,0.53465043654573
POSSESSED,Fact_recepient_id_ReqListen,0.6,0.0,-0.8530296445423718,20,10,0.8530296445423718
POSSESSED,Agr_id_ReqListen,0.4489795918367347,0.10526315789473684,-0.37138709644287043,49,19,0.37138709644287043
POSSESSED,Mt,3.2755555555555556,1.1155555555555556,-0.4560037754731082,225,225,0.4560037754731082
POSSESSED,Dis_id_Sus,1.0240963855421688,1.0769230769230769,0.04091085925557575,83,26,0.04091085925557575
POSSESSED,ReqDiscuss,2.52,0.5688888888888889,-0.7264898172745322,225,225,0.7264898172745322
POSSESSED,day1_vote_id_Sus,1.64,0.555,-0.7092276726673732,200,200,0.7092276726673732
POSSESSED,Agr_id_XOR,0.0,0.0,,49,19,
POSSESSED,Sus_recepient_id_XOR,0.0,0.0,,128,45,
POSSESSED,Dis_id_Wait,0.14457831325301204,0.3076923076923077,0.2558255787461923,83,26,0.2558255787461923
POSSESSED,Dis_id_IF,0.024096385542168676,0.038461538461538464,0.08141539113796234,83,26,0.08141539113796234
POSSESSED,Fact_recepient_id_Fact,0.3,0.3,0.0,20,10,0.0
POSSESSED,Agr_id_calm,0.7346938775510204,1.0526315789473684,0.17521890755951477,49,19,0.17521890755951477
POSSESSED,Fact_recepient_id_calm,3.2,0.4,-0.9016114605562928,20,10,0.9016114605562928
POSSESSED,Atk,0.0,0.0,,225,225,
POSSESSED,Sus_recepient_id_Fact,0.171875,0.08888888888888889,-0.20284920067580753,128,45,0.20284920067580753
POSSESSED,Est_id_Admiration,0.0,0.0,,55,22,
POSSESSED,day1_vote_id_Req(V),0.215,0.175,-0.059706873216467754,200,200,0.059706873216467754
POSSESSED,Agr_id_difficult,0.4489795918367347,0.21052631578947367,-0.35819728836554093,49,19,0.35819728836554093
POSSESSED,Fact_recepient_id_Mt,3.3,1.7,-0.5354511444447929,20,10,0.5354511444447929
POSSESSED,Agr_id_Req(CO),0.0,0.0,,49,19,
POSSESSED,Dis_id_Pers,1.216867469879518,0.8076923076923077,-0.23036076692600405,83,26,0.23036076692600405
POSSESSED,Est_id_XOR,0.0,0.0,,55,22,
POSSESSED,Sus_recepient_id_Req(V),0.2265625,0.37777777777777777,0.19092863209197217,128,45,0.19092863209197217
POSSESSED,Agr_id_Vote,0.42857142857142855,0.631578947368421,0.2857415067093565,49,19,0.2857415067093565
POSSESSED,Agr_id_confused,0.08163265306122448,0.05263157894736842,-0.09923125005810769,49,19,0.09923125005810769
POSSESSED,Fact_recepient_id_Admiration,0.0,0.0,,20,10,
POSSESSED,Agr_id_contradiction,0.061224489795918366,0.15789473684210525,0.18044409309924442,49,19,0.18044409309924442
POSSESSED,Vote,0.5377777777777778,0.16444444444444445,-0.5070744037630807,225,225,0.5070744037630807
POSSESSED,Admiration,0.0,0.0,,225,225,
POSSESSED,Est_id_contradiction,0.16363636363636364,0.045454545454545456,-0.38873864578183115,55,22,0.38873864578183115
POSSESSED,Est_id_IF,0.05454545454545454,0.0,-0.33658091640304455,55,22,0.33658091640304455
POSSESSED,XOR,0.0,0.0,,225,225,
POSSESSED,Vote_recepient_id_contradiction,0.0625,0.0,-0.3037922310168057,80,21,0.3037922310168057
POSSESSED,Dis_id_ReqListen,0.3493975903614458,0.07692307692307693,-0.3343399726973162,83,26,0.3343399726973162
POSSESSED,Sus_recepient_id_Mt,2.6953125,2.022222222222222,-0.18114487218939754,128,45,0.18114487218939754
POSSESSED,Agr_id_Req(T),0.9387755102040817,0.6842105263157895,-0.22728265101644532,49,19,0.22728265101644532
POSSESSED,Fact_recepient_id_Vote,0.25,0.7,0.39962798335180144,20,10,0.39962798335180144
POSSESSED,Sus_recepient_id_Wait,0.203125,0.15555555555555556,-0.09090477841060782,128,45,0.09090477841060782
POSSESSED,Agr_id_Sus,1.5714285714285714,2.1052631578947367,0.29481143583162533,49,19,0.29481143583162533
POSSESSED,Dis_id_calm,0.7951807228915663,0.7307692307692307,-0.035392788775749764,83,26,0.035392788775749764
POSSESSED,day1_vote_id_confused,0.12,0.04,-0.24395495217680818,200,200,0.24395495217680818
POSSESSED,Dis_id_Admiration,0.0,0.0,,83,26,
POSSESSED,Sus_recepient_id_Pers,1.859375,0.6222222222222222,-0.34713778497000547,128,45,0.34713778497000547
POSSESSED,Dis_id_Req(CO),0.060240963855421686,0.0,-0.2164873761311318,83,26,0.2164873761311318
POSSESSED,Sus_recepient_id_Sus,1.234375,0.9111111111111111,-0.23451436846754983,128,45,0.23451436846754983
POSSESSED,Sus_recepient_id_Req(CO),0.0703125,0.0,-0.24830408665110804,128,45,0.24830408665110804
POSSESSED,Agr_id_Mt,2.0,1.7894736842105263,-0.11758173965094636,49,19,0.11758173965094636
POSSESSED,Fact_recepient_id_Pers,2.85,0.9,-0.6042235647018297,20,10,0.6042235647018297
POSSESSED,day1_vote_id_ReqDiscuss,3.1,0.475,-0.9396775632138837,200,200,0.9396775632138837
POSSESSED,Vote_recepient_id_calm,0.8625,0.9523809523809523,0.039190678975272446,80,21,0.039190678975272446
POSSESSED,Est_id_difficult,0.14545454545454545,0.0,-0.5085133809309825,55,22,0.5085133809309825
POSSESSED,Est_id_Fact,0.14545454545454545,0.13636363636363635,-0.023997806015170483,55,22,0.023997806015170483
POSSESSED,day1_vote_id_Vote,0.495,0.13,-0.5017527382734287,200,200,0.5017527382734287
POSSESSED,day1_vote_id_contradiction,0.1,0.01,-0.32792024608410697,200,200,0.32792024608410697
POSSESSED,Est_id_Req(T),0.8727272727272727,0.9090909090909091,0.027566668158443206,55,22,0.027566668158443206
POSSESSED,Est_id_Wait,0.23636363636363636,0.045454545454545456,-0.4627476844638617,55,22,0.4627476844638617
POSSESSED,Vote_recepient_id_Req(V),0.2625,0.47619047619047616,0.2362389142574917,80,21,0.2362389142574917
POSSESSED,Fact_recepient_id_Req(T),0.65,0.5,-0.1745888983368069,20,10,0.1745888983368069
